V	G	0.006098
U	#	0.048450
$	STOP	0.045738
A	^	0.034384
N	^	0.014238
^	&	0.029197
&	A	0.056974
A	U	0.012416
D	,	0.025801
V	&	0.012576
D	O	0.012510
R	STOP	0.022610
@	U	0.023211
@	STOP	0.032882
!	L	0.032641
V	E	0.006098
^	STOP	0.024331
R	N	0.018499
P	L	0.022263
&	D	0.064833
G	~	0.080952
A	D	0.017192
START	P	0.022777
A	&	0.034384
O	STOP	0.019893
P	S	0.007421
E	O	0.040189
O	E	0.014537
D	STOP	0.010946
$	S	0.022869
L	P	0.065511
!	^	0.037092
#	N	0.030374
A	$	0.024833
#	,	0.058411
A	R	0.025788
START	E	0.013960
N	T	0.006700
R	L	0.021583
A	T	0.010506
E	~	0.037825
R	^	0.020555
U	@	0.023256
@	#	0.018375
~	!	0.033987
~	R	0.026144
A	E	0.011461
^	$	0.029197
U	V	0.032946
START	R	0.032329
O	O	0.025249
#	G	0.032710
O	G	0.010712
G	G	0.064286
T	P	0.095368
@	^	0.030948
~	N	0.030065
T	^	0.043597
$	U	0.022869
U	P	0.040698
V	~	0.007241
V	U	0.005716
~	E	0.018301
A	L	0.015282
R	!	0.015416
R	~	0.012333
#	U	0.032710
$	~	0.024948
@	R	0.039652
@	G	0.016441
#	^	0.030374
E	E	0.066194
@	&	0.019342
T	D	0.081744
D	@	0.010164
Z	V	0.043919
^	O	0.014599
^	T	0.009732
T	E	0.029973
E	L	0.030733
U	!	0.023256
$	^	0.045738
&	^	0.056974
^	D	0.009732
$	$	0.029106
T	@	0.029973
!	#	0.017804
START	$	0.013226
^	S	0.009732
U	&	0.027132
D	G	0.013292
O	T	0.016067
T	&	0.029973
O	$	0.008416
^	G	0.020276
@	S	0.010638
U	U	0.027132
!	G	0.019288
!	~	0.022255
N	#	0.007538
R	G	0.015416
G	R	0.028571
$	!	0.024948
A	~	0.015282
R	$	0.013361
L	$	0.025048
P	~	0.009276
E	U	0.035461
D	T	0.010164
T	O	0.035422
#	V	0.028037
T	G	0.032698
!	D	0.040059
D	#	0.008600
START	X	0.008817
A	G	0.013372
G	O	0.040476
E	R	0.030733
$	V	0.035343
#	E	0.028037
Z	G	0.037162
&	G	0.021611
V	#	0.004573
G	P	0.030952
$	O	0.031185
^	L	0.010543
O	U	0.009181
@	$	0.014507
#	O	0.028037
&	@	0.027505
START	U	0.009552
U	G	0.023256
START	&	0.009552
L	O	0.028902
,	X	0.006176
X	D	0.064748
&	U	0.021611
P	#	0.007421
#	P	0.030374
E	#	0.028369
O	L	0.008416
O	!	0.012242
!	@	0.019288
E	N	0.028369
T	A	0.029973
P	!	0.007421
N	L	0.008375
D	L	0.009382
#	!	0.028037
!	U	0.019288
P	X	0.009895
T	STOP	0.035422
E	V	0.035461
G	E	0.026190
A	@	0.011461
G	D	0.033333
O	X	0.008416
R	@	0.011305
D	U	0.009382
^	#	0.009732
V	X	0.004192
E	P	0.026005
R	#	0.012333
START	M	0.008082
M	V	0.041985
A	#	0.010506
E	G	0.028369
S	^	0.039855
@	X	0.011605
L	,	0.021195
E	D	0.026005
D	&	0.008600
S	,	0.039855
X	,	0.039568
D	E	0.009382
~	G	0.014379
,	Y	0.005226
Y	D	0.042146
P	&	0.007421
START	Z	0.008082
O	@	0.008416
L	^	0.023121
^	@	0.008921
D	Z	0.008600
#	D	0.025701
U	R	0.021318
#	R	0.025701
R	Z	0.011305
&	,	0.023576
L	G	0.021195
N	Z	0.004606
~	Z	0.014379
P	E	0.006803
E	&	0.026005
#	@	0.025701
U	O	0.021318
D	!	0.008600
U	^	0.021318
U	A	0.021318
V	S	0.004192
@	T	0.009671
@	M	0.009671
@	Z	0.009671
@	Y	0.009671
@	START	0.009671
,	S	0.004751
,	T	0.004751
,	M	0.004751
,	START	0.004751
L	@	0.019268
L	L	0.019268
L	~	0.019268
L	&	0.019268
L	S	0.019268
L	X	0.019268
L	E	0.019268
L	M	0.019268
L	Z	0.019268
L	!	0.019268
L	U	0.019268
L	Y	0.019268
L	#	0.019268
L	START	0.019268
L	STOP	0.019268
~	S	0.013072
~	T	0.013072
~	M	0.013072
~	Y	0.013072
~	START	0.013072
&	~	0.019646
&	&	0.019646
&	S	0.019646
&	X	0.019646
&	E	0.019646
&	T	0.019646
&	M	0.019646
&	Z	0.019646
&	Y	0.019646
&	#	0.019646
&	START	0.019646
&	STOP	0.019646
S	@	0.036232
S	L	0.036232
S	~	0.036232
S	&	0.036232
S	S	0.036232
S	G	0.036232
S	$	0.036232
S	V	0.036232
S	R	0.036232
S	X	0.036232
S	E	0.036232
S	T	0.036232
S	M	0.036232
S	D	0.036232
S	O	0.036232
S	Z	0.036232
S	!	0.036232
S	U	0.036232
S	P	0.036232
S	Y	0.036232
S	#	0.036232
S	START	0.036232
S	STOP	0.036232
N	S	0.004188
N	X	0.004188
N	M	0.004188
N	Y	0.004188
N	START	0.004188
A	S	0.009551
A	X	0.009551
A	M	0.009551
A	Z	0.009551
A	Y	0.009551
A	START	0.009551
G	L	0.023810
G	&	0.023810
G	S	0.023810
G	X	0.023810
G	T	0.023810
G	M	0.023810
G	Z	0.023810
G	Y	0.023810
G	#	0.023810
G	START	0.023810
$	@	0.020790
$	L	0.020790
$	X	0.020790
$	E	0.020790
$	T	0.020790
$	D	0.020790
$	Z	0.020790
$	Y	0.020790
$	#	0.020790
$	START	0.020790
V	M	0.003811
V	Y	0.003811
V	START	0.003811
R	S	0.010277
R	X	0.010277
R	T	0.010277
R	M	0.010277
R	Y	0.010277
R	START	0.010277
X	@	0.035971
X	L	0.035971
X	~	0.035971
X	&	0.035971
X	S	0.035971
X	N	0.035971
X	A	0.035971
X	G	0.035971
X	$	0.035971
X	R	0.035971
X	X	0.035971
X	E	0.035971
X	T	0.035971
X	M	0.035971
X	O	0.035971
X	Z	0.035971
X	!	0.035971
X	^	0.035971
X	U	0.035971
X	P	0.035971
X	Y	0.035971
X	#	0.035971
X	START	0.035971
X	STOP	0.035971
E	@	0.023641
E	S	0.023641
E	A	0.023641
E	$	0.023641
E	X	0.023641
E	T	0.023641
E	M	0.023641
E	Z	0.023641
E	^	0.023641
E	Y	0.023641
E	START	0.023641
T	L	0.027248
T	~	0.027248
T	S	0.027248
T	$	0.027248
T	X	0.027248
T	T	0.027248
T	M	0.027248
T	Z	0.027248
T	!	0.027248
T	U	0.027248
T	Y	0.027248
T	#	0.027248
T	START	0.027248
M	@	0.038168
M	,	0.038168
M	L	0.038168
M	~	0.038168
M	&	0.038168
M	S	0.038168
M	N	0.038168
M	G	0.038168
M	$	0.038168
M	R	0.038168
M	X	0.038168
M	E	0.038168
M	T	0.038168
M	M	0.038168
M	D	0.038168
M	O	0.038168
M	Z	0.038168
M	!	0.038168
M	^	0.038168
M	U	0.038168
M	P	0.038168
M	Y	0.038168
M	#	0.038168
M	START	0.038168
M	STOP	0.038168
D	X	0.007819
D	M	0.007819
D	Y	0.007819
D	START	0.007819
O	S	0.007651
O	M	0.007651
O	Z	0.007651
O	Y	0.007651
O	#	0.007651
O	START	0.007651
Z	@	0.033784
Z	L	0.033784
Z	~	0.033784
Z	&	0.033784
Z	S	0.033784
Z	$	0.033784
Z	R	0.033784
Z	X	0.033784
Z	E	0.033784
Z	T	0.033784
Z	M	0.033784
Z	D	0.033784
Z	O	0.033784
Z	Z	0.033784
Z	!	0.033784
Z	U	0.033784
Z	P	0.033784
Z	Y	0.033784
Z	#	0.033784
Z	START	0.033784
Z	STOP	0.033784
!	&	0.014837
!	S	0.014837
!	$	0.014837
!	X	0.014837
!	T	0.014837
!	M	0.014837
!	Z	0.014837
!	Y	0.014837
!	START	0.014837
^	X	0.008110
^	M	0.008110
^	Y	0.008110
^	START	0.008110
U	L	0.019380
U	S	0.019380
U	N	0.019380
U	X	0.019380
U	E	0.019380
U	T	0.019380
U	M	0.019380
U	D	0.019380
U	Z	0.019380
U	Y	0.019380
U	START	0.019380
P	T	0.006184
P	M	0.006184
P	Y	0.006184
P	START	0.006184
Y	@	0.038314
Y	,	0.038314
Y	L	0.038314
Y	~	0.038314
Y	&	0.038314
Y	S	0.038314
Y	N	0.038314
Y	A	0.038314
Y	G	0.038314
Y	$	0.038314
Y	V	0.038314
Y	R	0.038314
Y	X	0.038314
Y	E	0.038314
Y	T	0.038314
Y	M	0.038314
Y	O	0.038314
Y	Z	0.038314
Y	!	0.038314
Y	^	0.038314
Y	U	0.038314
Y	P	0.038314
Y	Y	0.038314
Y	#	0.038314
Y	START	0.038314
Y	STOP	0.038314
#	L	0.023364
#	&	0.023364
#	S	0.023364
#	A	0.023364
#	X	0.023364
#	T	0.023364
#	M	0.023364
#	Z	0.023364
#	Y	0.023364
#	START	0.023364
START	T	0.007348
START	Y	0.007348
START	START	0.007348
START	STOP	0.007348
STOP	@	0.007348
STOP	,	0.007348
STOP	L	0.007348
STOP	~	0.007348
STOP	&	0.007348
STOP	S	0.007348
STOP	N	0.007348
STOP	A	0.007348
STOP	G	0.007348
STOP	$	0.007348
STOP	V	0.007348
STOP	R	0.007348
STOP	X	0.007348
STOP	E	0.007348
STOP	T	0.007348
STOP	M	0.007348
STOP	D	0.007348
STOP	O	0.007348
STOP	Z	0.007348
STOP	!	0.007348
STOP	^	0.007348
STOP	U	0.007348
STOP	P	0.007348
STOP	Y	0.007348
STOP	#	0.007348
STOP	START	0.007348
STOP	STOP	0.007348
